date,account,record,debit_usd,credit_usd
2026-01-11,subscription-revenue,inv-202601-harbor,0.00,356.00
2026-01-11,operating-cash,pay-inv-202512-harbor,356.00,0.00
2026-01-11,accounts-receivable,pay-inv-202512-harbor,0.00,356.00
2026-01-12,operating-cash,bill-202601-cedar,0.00,184.00
2026-01-12,operating-expense,bill-202601-cedar,184.00,0.00
2026-01-14,accounts-receivable,inv-202601-lumen,412.00,0.00
2026-01-14,subscription-revenue,inv-202601-lumen,0.00,412.00
2026-01-30,operating-cash,pay-inv-202512-lumen,412.00,0.00
2026-01-30,accounts-receivable,pay-inv-202512-lumen,0.00,412.00
2026-02-02,operating-cash,bill-202602-cloudharbor,0.00,731.00
2026-02-02,operating-expense,bill-202602-cloudharbor,731.00,0.00
2026-02-05,accounts-receivable,inv-202602-ember,289.00,0.00
2026-02-05,subscription-revenue,inv-202602-ember,0.00,289.00
2026-02-05,operating-cash,pay-inv-202601-ember,289.00,0.00
2026-02-05,accounts-receivable,pay-inv-202601-ember,0.00,289.00
2026-02-08,accounts-receivable,inv-202602-fieldnote,99.00,0.00
2026-02-08,subscription-revenue,inv-202602-fieldnote,0.00,99.00
2026-02-08,operating-cash,pay-inv-202601-fieldnote,99.00,0.00
2026-02-08,accounts-receivable,pay-inv-202601-fieldnote,0.00,99.00
2026-02-11,accounts-receivable,inv-202602-harbor,356.00,0.00
2026-02-11,subscription-revenue,inv-202602-harbor,0.00,356.00
2026-02-11,operating-cash,pay-inv-202601-harbor,356.00,0.00
2026-02-11,accounts-receivable,pay-inv-202601-harbor,0.00,356.00
2026-02-12,operating-cash,bill-202602-cedar,0.00,184.00
2026-02-12,operating-expense,bill-202602-cedar,184.00,0.00
2026-02-14,accounts-receivable,inv-202602-lumen,412.00,0.00
2026-02-14,subscription-revenue,inv-202602-lumen,0.00,412.00
2026-02-28,operating-cash,pay-inv-202601-lumen,412.00,0.00
2026-02-28,accounts-receivable,pay-inv-202601-lumen,0.00,412.00
2026-03-02,operating-cash,bill-202603-cloudharbor,0.00,731.00
2026-03-02,operating-expense,bill-202603-cloudharbor,731.00,0.00
2026-03-05,accounts-receivable,inv-202603-ember,289.00,0.00
2026-03-05,subscription-revenue,inv-202603-ember,0.00,289.00
2026-03-05,operating-cash,pay-inv-202602-ember,289.00,0.00
2026-03-05,accounts-receivable,pay-inv-202602-ember,0.00,289.00
2026-03-08,accounts-receivable,inv-202603-fieldnote,99.00,0.00
2026-03-08,subscription-revenue,inv-202603-fieldnote,0.00,99.00
2026-03-08,operating-cash,pay-inv-202602-fieldnote,99.00,0.00
2026-03-08,accounts-receivable,pay-inv-202602-fieldnote,0.00,99.00
2026-03-11,accounts-receivable,inv-202603-harbor,356.00,0.00
2026-03-11,subscription-revenue,inv-202603-harbor,0.00,356.00
2026-03-11,operating-cash,pay-inv-202602-harbor,356.00,0.00
2026-03-11,accounts-receivable,pay-inv-202602-harbor,0.00,356.00
2026-03-12,operating-cash,bill-202603-cedar,0.00,184.00
2026-03-12,operating-expense,bill-202603-cedar,184.00,0.00
2026-03-14,accounts-receivable,inv-202603-lumen,412.00,0.00
2026-03-14,subscription-revenue,inv-202603-lumen,0.00,412.00
2026-03-30,operating-cash,pay-inv-202602-lumen,412.00,0.00
2026-03-30,accounts-receivable,pay-inv-202602-lumen,0.00,412.00
2026-04-02,operating-cash,bill-202604-cloudharbor,0.00,731.00
2026-04-02,operating-expense,bill-202604-cloudharbor,731.00,0.00
2026-04-05,accounts-receivable,inv-202604-ember,289.00,0.00
2026-04-05,subscription-revenue,inv-202604-ember,0.00,289.00
2026-04-05,operating-cash,pay-inv-202603-ember,289.00,0.00
2026-04-05,accounts-receivable,pay-inv-202603-ember,0.00,289.00
2026-04-08,accounts-receivable,inv-202604-fieldnote,99.00,0.00
2026-04-08,subscription-revenue,inv-202604-fieldnote,0.00,99.00
2026-04-08,operating-cash,pay-inv-202603-fieldnote,99.00,0.00
2026-04-08,accounts-receivable,pay-inv-202603-fieldnote,0.00,99.00
2026-04-11,accounts-receivable,inv-202604-harbor,356.00,0.00
2026-04-11,subscription-revenue,inv-202604-harbor,0.00,356.00
2026-04-11,operating-cash,pay-inv-202603-harbor,356.00,0.00
2026-04-11,accounts-receivable,pay-inv-202603-harbor,0.00,356.00
2026-04-12,operating-cash,bill-202604-cedar,0.00,184.00
2026-04-12,operating-expense,bill-202604-cedar,184.00,0.00
2026-04-14,accounts-receivable,inv-202604-lumen,412.00,0.00
2026-04-14,subscription-revenue,inv-202604-lumen,0.00,412.00
2026-04-30,operating-cash,pay-inv-202603-lumen,412.00,0.00
2026-04-30,accounts-receivable,pay-inv-202603-lumen,0.00,412.00
2026-05-02,operating-cash,bill-202605-cloudharbor,0.00,731.00
2026-05-02,operating-expense,bill-202605-cloudharbor,731.00,0.00
2026-05-05,accounts-receivable,inv-202605-ember,289.00,0.00
2026-05-05,subscription-revenue,inv-202605-ember,0.00,289.00
2026-05-05,operating-cash,pay-inv-202604-ember,289.00,0.00
2026-05-05,accounts-receivable,pay-inv-202604-ember,0.00,289.00
2026-05-08,accounts-receivable,inv-202605-fieldnote,99.00,0.00
2026-05-08,subscription-revenue,inv-202605-fieldnote,0.00,99.00
2026-05-08,operating-cash,pay-inv-202604-fieldnote,99.00,0.00
2026-05-08,accounts-receivable,pay-inv-202604-fieldnote,0.00,99.00
2026-05-11,accounts-receivable,inv-202605-harbor,356.00,0.00
2026-05-11,subscription-revenue,inv-202605-harbor,0.00,356.00
2026-05-11,operating-cash,pay-inv-202604-harbor,356.00,0.00
2026-05-11,accounts-receivable,pay-inv-202604-harbor,0.00,356.00
2026-05-12,operating-cash,bill-202605-cedar,0.00,184.00
2026-05-12,operating-expense,bill-202605-cedar,184.00,0.00
2026-05-14,accounts-receivable,inv-202605-lumen,412.00,0.00
2026-05-14,subscription-revenue,inv-202605-lumen,0.00,412.00
2026-05-30,operating-cash,pay-inv-202604-lumen,412.00,0.00
2026-05-30,accounts-receivable,pay-inv-202604-lumen,0.00,412.00
2026-06-02,operating-cash,bill-202606-cloudharbor,0.00,731.00
2026-06-02,operating-expense,bill-202606-cloudharbor,731.00,0.00
2026-06-05,accounts-receivable,inv-202606-ember,289.00,0.00
2026-06-05,subscription-revenue,inv-202606-ember,0.00,289.00
2026-06-05,operating-cash,pay-inv-202605-ember,289.00,0.00
2026-06-05,accounts-receivable,pay-inv-202605-ember,0.00,289.00
2026-06-08,accounts-receivable,inv-202606-fieldnote,99.00,0.00
2026-06-08,subscription-revenue,inv-202606-fieldnote,0.00,99.00
2026-06-08,operating-cash,pay-inv-202605-fieldnote,99.00,0.00
2026-06-08,accounts-receivable,pay-inv-202605-fieldnote,0.00,99.00
2026-06-11,accounts-receivable,inv-202606-harbor,356.00,0.00
2026-06-11,subscription-revenue,inv-202606-harbor,0.00,356.00
2026-06-11,operating-cash,pay-inv-202605-harbor,356.00,0.00
2026-06-11,accounts-receivable,pay-inv-202605-harbor,0.00,356.00
2026-06-12,operating-cash,bill-202606-cedar,0.00,184.00
2026-06-12,operating-expense,bill-202606-cedar,184.00,0.00
2026-06-14,accounts-receivable,inv-202606-lumen,412.00,0.00
2026-06-14,subscription-revenue,inv-202606-lumen,0.00,412.00
2026-06-30,operating-cash,pay-inv-202605-lumen,412.00,0.00
2026-06-30,accounts-receivable,pay-inv-202605-lumen,0.00,412.00
2026-07-02,operating-cash,bill-202607-cloudharbor,0.00,731.00
2026-07-02,operating-expense,bill-202607-cloudharbor,731.00,0.00
2026-07-05,accounts-receivable,inv-202607-ember,289.00,0.00
2026-07-05,subscription-revenue,inv-202607-ember,0.00,289.00
2026-07-05,operating-cash,pay-inv-202606-ember,289.00,0.00
2026-07-05,accounts-receivable,pay-inv-202606-ember,0.00,289.00
2026-07-08,accounts-receivable,inv-202607-fieldnote,99.00,0.00
2026-07-08,subscription-revenue,inv-202607-fieldnote,0.00,99.00
2026-07-08,operating-cash,pay-inv-202606-fieldnote,99.00,0.00
2026-07-08,accounts-receivable,pay-inv-202606-fieldnote,0.00,99.00
2026-07-11,accounts-receivable,inv-202607-harbor,356.00,0.00
2026-07-11,subscription-revenue,inv-202607-harbor,0.00,356.00
2026-07-11,operating-cash,pay-inv-202606-harbor,356.00,0.00
2026-07-11,accounts-receivable,pay-inv-202606-harbor,0.00,356.00
2026-07-12,operating-cash,bill-202607-cedar,0.00,184.00
2026-07-12,operating-expense,bill-202607-cedar,184.00,0.00
2026-07-14,accounts-receivable,inv-202607-lumen,412.00,0.00
2026-07-14,subscription-revenue,inv-202607-lumen,0.00,412.00
2026-07-30,operating-cash,pay-inv-202606-lumen,412.00,0.00
2026-07-30,accounts-receivable,pay-inv-202606-lumen,0.00,412.00
2026-08-05,operating-cash,pay-inv-202607-ember,289.00,0.00
2026-08-05,accounts-receivable,pay-inv-202607-ember,0.00,289.00
2026-08-08,operating-cash,pay-inv-202607-fieldnote,99.00,0.00
2026-08-08,accounts-receivable,pay-inv-202607-fieldnote,0.00,99.00
2026-08-11,operating-cash,pay-inv-202607-harbor,356.00,0.00
2026-08-11,accounts-receivable,pay-inv-202607-harbor,0.00,356.00
2026-08-14,accounts-receivable,inv-4471,412.00,0.00
2026-08-14,subscription-revenue,inv-4471,0.00,412.00
2026-08-30,operating-cash,pay-inv-202607-lumen,412.00,0.00
2026-08-30,accounts-receivable,pay-inv-202607-lumen,0.00,412.00
